produto,marca,preço,quantidade_estoque,número_vendas,setor,modelo,valor_vendas_semana,data_venda,categoria,localizacao,desconto,valor_total_venda,fornecedor
Trampolim Infantil,EliteElectronics,790.28,98,29,Brinquedos,EE-7,22918.12,2024-07-29,Brinquedos,Vitória,0.01,22688.94,Distribuição Pi
Protetor Solar La Roche-Posay,HomeEssentials,1159.59,35,16,Beleza,HE-9,18553.44,2024-07-29,Beleza,Goiânia,0.13,16141.49,Produtos Epsilon
Fogão Electrolux,OptimaGoods,1281.55,43,39,Eletrodomésticos,OG-2,49980.45,2024-07-31,Eletrodomésticos,Belém,0.01,49480.65,Armazém Kappa
Camiseta Masculina Básica,SmartBuy,1778.27,67,38,Roupas,SB-4,67574.26,2024-08-03,Roupas,Goiânia,0.05,64195.55,Inovações Mu
Lápis de Olho Maybelline,SuperGadgets,1992.91,14,14,Beleza,SG-9,27900.74,2024-07-30,Beleza,Campo Grande,0.06,26226.7,Equipamentos Xi
Cordas de Escalada,HomeEssentials,1997.05,23,42,Esportes,HE-7,83876.09999999999,2024-07-29,Esportes,Teresina,0.0,83876.1,Armazém Upsilon
Smartphone iPhone 13,EcoWare,829.9,60,34,Eletrônicos,EW-5,28216.6,2024-07-29,Eletrônicos,Rio de Janeiro,0.14,24266.28,Comercial Nu
Bicicleta Infantil,NextGenProducts,1344.93,44,41,Brinquedos,NGP-7,55142.130000000005,2024-07-30,Brinquedos,Aracaju,0.01,54590.71,Importadora Beta
Calça Legging,MegaBrand,1216.64,19,11,Roupas,MB-7,13383.04,2024-08-01,Roupas,Recife,0.13,11643.24,Comercial Nu
Azeite de Oliva,OptimaGoods,1295.8,88,50,Alimentos,OG-3,64790.0,2024-07-31,Alimentos,Palmas,0.05,61550.5,Serviços Omicron
Filtro de Ar K&N,HomeEssentials,537.31,54,47,Automotivo,HE-2,25253.569999999996,2024-08-04,Automotivo,Campo Grande,0.04,24243.43,Armazém Kappa
Smartphone iPhone 13,SmartBuy,453.71,92,17,Eletrônicos,SB-3,7713.07,2024-08-03,Eletrônicos,Teresina,0.06,7250.29,Comércio Theta
Azeite de Oliva,PrimeProducts,567.33,81,32,Alimentos,PP-8,18154.56,2024-08-04,Alimentos,Curitiba,0.01,17973.01,Fornecedora Gamma
Creme para o Rosto Clinique,TechNova,1111.85,89,42,Beleza,TN-6,46697.7,2024-07-30,Beleza,Belo Horizonte,0.04,44829.79,Comércio Theta
Bola de Basquete Spalding,GigaStore,631.69,83,8,Esportes,GS-8,5053.52,2024-08-03,Esportes,Vitória,0.05,4800.84,Comércio Theta
Antena para Carro,QualityGoods,541.11,48,42,Automotivo,QG-3,22726.62,2024-08-03,Automotivo,Campo Grande,0.11,20226.69,Inovações Mu
Tenda para Acampamento,SmartChoice,959.66,70,30,Esportes,SC-4,28789.8,2024-08-04,Esportes,Porto Alegre,0.04,27638.21,Logística Iota
Câmera de Segurança Arlo,TechNova,285.46,74,42,Eletrônicos,TN-9,11989.32,2024-07-29,Eletrônicos,Teresina,0.1,10790.39,Equipamentos Xi
Câmera Canon EOS R5,ValueLine,221.9,60,42,Eletrônicos,VL-1,9319.800000000001,2024-08-04,Eletrônicos,Manaus,0.09,8481.02,Inovações Mu
Trampolim Infantil,QualityGoods,449.03,57,36,Brinquedos,QG-5,16165.079999999998,2024-08-02,Brinquedos,São Paulo,0.01,16003.43,Importadora Beta
Trenzinho Elétrico,InnovateTech,1504.26,49,34,Brinquedos,IT-5,51144.84,2024-07-31,Brinquedos,Manaus,0.02,50121.94,Comercial Nu
Luvas de Boxe Everlast,InnovateTech,554.45,7,42,Esportes,IT-8,23286.9,2024-08-02,Esportes,Cuiabá,0.09,21191.08,Mercadorias Eta
Lápis de Olho Maybelline,ValueLine,1202.23,90,6,Beleza,VL-5,7213.38,2024-07-31,Beleza,Brasília,0.11,6419.91,Suprimentos Sigma
Monitor UltraWide 34'',MegaBrand,655.23,94,28,Eletrônicos,MB-10,18346.440000000002,2024-08-02,Eletrônicos,Campo Grande,0.14,15777.94,Venda Lambda
Perfume Chanel No. 5,Trendsetter,1176.43,90,34,Beleza,TS-10,39998.62,2024-08-03,Beleza,Maceió,0.04,38398.68,Comércio Theta
Cobertura para Carro,QualityGoods,413.54,52,15,Automotivo,QG-8,6203.1,2024-08-04,Automotivo,Belo Horizonte,0.01,6141.07,Importadora Beta
Curativos Esterilizados,BrightChoice,118.67,13,33,Saúde,BC-8,3916.11,2024-07-31,Saúde,Fortaleza,0.06,3681.14,Inovações Mu
Blusa de Seda,HomeEssentials,1735.79,15,39,Roupas,HE-10,67695.81,2024-07-30,Roupas,João Pessoa,0.09,61603.19,Venda Lambda
Leite Desnatado,EcoWare,462.88,22,39,Alimentos,EW-4,18052.32,2024-07-30,Alimentos,São Paulo,0.14,15525.0,Fornecedora Gamma
Lavadora de Roupas LG,EliteElectronics,1035.98,99,16,Eletrodomésticos,EE-4,16575.68,2024-07-31,Eletrodomésticos,Vitória,0.08,15249.63,Inovações Mu
Solução Salina,ValueLine,1535.92,74,11,Saúde,VL-9,16895.120000000003,2024-07-31,Saúde,Fortaleza,0.11,15036.66,Fornecedora Rho
Monitor UltraWide 34'',FutureTech,658.7,22,23,Eletrônicos,FT-4,15150.1,2024-08-03,Eletrônicos,Aracaju,0.05,14392.59,Equipamentos Xi
Pasta de Dente,PrimeProducts,1426.7,32,48,Saúde,PP-1,68481.6,2024-07-29,Saúde,Maceió,0.05,65057.52,Suprimentos Delta
Capa de Banco,OptimaGoods,1077.91,37,50,Automotivo,OG-10,53895.50000000001,2024-07-31,Automotivo,Belo Horizonte,0.13,46889.09,Distribuidora Alpha
Aspirador de Pó Philips,QualityGoods,1694.1,61,20,Eletrodomésticos,QG-6,33882.0,2024-08-04,Eletrodomésticos,Vitória,0.07,31510.26,Armazém Kappa
Ar Condicionado LG,SuperGadgets,216.77,82,3,Eletrodomésticos,SG-3,650.3100000000001,2024-08-01,Eletrodomésticos,Aracaju,0.0,650.31,Importadora Tau
Enlatado de Milho,ElectroMart,1683.1,84,36,Alimentos,EM-10,60591.6,2024-08-01,Alimentos,Brasília,0.0,60591.6,Serviços Omicron
Bateria de Carro Varta,MegaBrand,722.75,70,33,Automotivo,MB-2,23850.75,2024-08-04,Automotivo,Aracaju,0.08,21942.69,Mercadorias Eta
Batedeira KitchenAid,NextGenProducts,1204.72,26,49,Eletrodomésticos,NGP-6,59031.28,2024-07-30,Eletrodomésticos,Maceió,0.04,56670.03,Suprimentos Delta
Alarmes e Sensores,SmartChoice,834.31,43,21,Automotivo,SC-10,17520.51,2024-08-04,Automotivo,João Pessoa,0.01,17345.3,Acessórios Zeta
Máscara de Cílios Dior,ElectroMart,1286.84,8,16,Beleza,EM-3,20589.44,2024-08-04,Beleza,Maceió,0.05,19559.97,Importadora Beta
Purificador de Água Consul,SuperGadgets,1831.34,61,29,Eletrodomésticos,SG-8,53108.86,2024-07-30,Eletrodomésticos,Campo Grande,0.02,52046.68,Suprimentos Delta
Torradeira Philips,FutureTech,915.64,64,43,Eletrodomésticos,FT-6,39372.52,2024-07-29,Eletrodomésticos,Cuiabá,0.06,37010.17,Comércio Theta
Mesa de Cabeceira,ValueLine,760.53,90,19,Móveis,VL-10,14450.07,2024-07-29,Móveis,Teresina,0.13,12571.56,Produtos Epsilon
Cama Infantil,EcoWare,1880.91,44,34,Móveis,EW-7,63950.94,2024-07-31,Móveis,Belo Horizonte,0.02,62671.92,Venda Lambda
Camiseta Masculina Básica,OptimaGoods,862.37,42,23,Roupas,OG-10,19834.51,2024-08-01,Roupas,Salvador,0.04,19041.13,Logística Iota
Camisa Polo,SmartBuy,1717.45,11,15,Roupas,SB-2,25761.75,2024-08-02,Roupas,Campo Grande,0.02,25246.51,Comercial Nu
Mouse Logitech MX Master,OptimaGoods,1047.74,87,6,Eletrônicos,OG-9,6286.4400000000005,2024-07-30,Eletrônicos,Aracaju,0.09,5720.66,Suprimentos Delta
Boneco Star Wars,EliteElectronics,1300.78,34,5,Brinquedos,EE-3,6503.9,2024-07-30,Brinquedos,Belo Horizonte,0.09,5918.55,Importadora Beta
Smartphone iPhone 13,ElectroMart,624.17,86,20,Eletrônicos,EM-4,12483.4,2024-07-31,Eletrônicos,Goiânia,0.04,11984.06,Comércio Theta
Blusa de Frio Tricot,TechNova,1705.64,66,12,Roupas,TN-6,20467.68,2024-08-01,Roupas,Brasília,0.03,19853.65,Comercial Nu
Estação de Brinquedos,MegaBrand,908.33,74,50,Brinquedos,MB-10,45416.5,2024-07-29,Brinquedos,Vitória,0.14,39058.19,Fornecedora Rho
Cobertura para Carro,NextGenProducts,1771.59,75,34,Automotivo,NGP-7,60234.06,2024-07-30,Automotivo,Vitória,0.14,51801.29,Fornecedora Gamma
Atum em Lata,QualityGoods,1305.21,28,3,Alimentos,QG-7,3915.63,2024-08-03,Alimentos,Cuiabá,0.05,3719.85,Mercadorias Eta
Cobertura para Carro,NextGenProducts,1711.7,100,48,Automotivo,NGP-6,82161.6,2024-08-01,Automotivo,Palmas,0.06,77231.9,Acessórios Zeta
Creme Anti-Idade L'Oréal,InnovateTech,1859.57,38,7,Beleza,IT-2,13016.99,2024-08-03,Beleza,Fortaleza,0.09,11845.46,Comércio Theta
Monitor UltraWide 34'',QualityGoods,239.55,38,37,Eletrônicos,QG-6,8863.35,2024-08-02,Eletrônicos,Recife,0.13,7711.11,Comércio Theta
Calça de Moletom,ElectroMart,1361.89,51,49,Roupas,EM-10,66732.61,2024-07-30,Roupas,Salvador,0.11,59392.02,Equipamentos Xi
Carrinho Hot Wheels,SuperGadgets,1366.86,39,40,Brinquedos,SG-2,54674.399999999994,2024-08-02,Brinquedos,Rio de Janeiro,0.08,50300.45,Armazém Upsilon
Máscara Facial,BrightChoice,1312.47,10,33,Saúde,BC-2,43311.51,2024-07-29,Saúde,Teresina,0.08,39846.59,Armazém Upsilon
Blusa de Frio Tricot,QualityGoods,349.51,74,8,Roupas,QG-3,2796.08,2024-08-04,Roupas,São Paulo,0.0,2796.08,Suprimentos Delta
Camisa de Flanela,EliteElectronics,244.29,8,30,Roupas,EE-3,7328.7,2024-08-02,Roupas,Palmas,0.03,7108.84,Fornecedora Gamma
Kit de Pesca,InnovateTech,1217.02,99,3,Esportes,IT-4,3651.06,2024-08-01,Esportes,Porto Alegre,0.12,3212.93,Produtos Epsilon
Luvas de Boxe Everlast,SuperGadgets,585.24,83,19,Esportes,SG-4,11119.56,2024-07-29,Esportes,Porto Alegre,0.0,11119.56,Comercial Nu
Kit de Maquiagem O Boticário,GigaStore,932.89,20,34,Beleza,GS-8,31718.26,2024-08-04,Beleza,Aracaju,0.13,27594.89,Armazém Upsilon
Robô Educativo,Trendsetter,349.92,72,32,Brinquedos,TS-7,11197.44,2024-08-04,Brinquedos,Maceió,0.06,10525.59,Importadora Tau
Boneca de Pano,SuperGadgets,1813.98,99,41,Brinquedos,SG-10,74373.18000000001,2024-07-30,Brinquedos,Manaus,0.04,71398.25,Armazém Upsilon
Bola de Basquete Spalding,NextGenProducts,1024.53,46,14,Esportes,NGP-8,14343.42,2024-07-30,Esportes,Fortaleza,0.04,13769.68,Logística Iota
Camiseta de Futebol Adidas,BrightChoice,158.4,89,9,Esportes,BC-1,1425.6000000000001,2024-08-04,Esportes,Curitiba,0.12,1254.53,Serviços Omicron
Limpador de Parabrisa,MegaBrand,641.07,77,20,Automotivo,MB-5,12821.400000000001,2024-08-02,Automotivo,Palmas,0.02,12564.97,Serviços Omicron
Patins Rollerblade,QualityGoods,1123.06,23,49,Esportes,QG-3,55029.939999999995,2024-08-01,Esportes,Cuiabá,0.08,50627.54,Logística Iota
Protetor Solar La Roche-Posay,Trendsetter,1606.93,98,12,Beleza,TS-4,19283.16,2024-08-01,Beleza,Salvador,0.05,18319.0,Suprimentos Delta
Vestido Casual,Trendsetter,894.68,36,34,Roupas,TS-7,30419.12,2024-08-02,Roupas,São Luís,0.06,28593.97,Distribuição Pi
Mesa de Cabeceira,FutureTech,1719.07,19,40,Móveis,FT-3,68762.8,2024-08-04,Móveis,Curitiba,0.03,66699.92,Fornecedora Rho
Suéter de Lã,QualityGoods,326.99,55,40,Roupas,QG-3,13079.6,2024-07-30,Roupas,Porto Alegre,0.1,11771.64,Venda Lambda
Calça de Moletom,PrimeProducts,1555.97,51,16,Roupas,PP-1,24895.52,2024-08-03,Roupas,Cuiabá,0.04,23899.7,Armazém Upsilon
Camiseta Masculina Básica,OptimaGoods,1053.16,17,42,Roupas,OG-10,44232.72,2024-07-29,Roupas,Teresina,0.05,42021.08,Distribuidora Alpha
Aquecedor Cadence,OptimaGoods,802.26,39,6,Eletrodomésticos,OG-4,4813.5599999999995,2024-07-29,Eletrodomésticos,Campo Grande,0.11,4284.07,Armazém Upsilon
Tênis de Basquete Converse,Trendsetter,1761.39,54,14,Esportes,TS-5,24659.460000000003,2024-08-02,Esportes,São Luís,0.14,21207.14,Acessórios Zeta
Cereal Matinal,Trendsetter,1689.32,79,45,Alimentos,TS-3,76019.4,2024-08-01,Alimentos,São Luís,0.1,68417.46,Importadora Beta
Protetor Solar La Roche-Posay,QualityGoods,722.06,24,22,Beleza,QG-8,15885.32,2024-07-29,Beleza,Salvador,0.07,14773.35,Importadora Tau
Kit de Primeiros Socorros,EcoWare,150.02,25,33,Saúde,EW-1,4950.660000000001,2024-07-30,Saúde,João Pessoa,0.13,4307.07,Acessórios Zeta
Saia Midi,SmartBuy,1159.22,73,29,Roupas,SB-1,33617.38,2024-07-30,Roupas,Campo Grande,0.01,33281.21,Importadora Tau
Estante para Livros,ElectroMart,1680.11,83,9,Móveis,EM-2,15120.99,2024-07-31,Móveis,Campo Grande,0.07,14062.52,Importadora Tau
Geladeira Samsung Frost Free,ProLine,1482.09,44,47,Eletrodomésticos,PL-3,69658.23,2024-08-01,Eletrodomésticos,Aracaju,0.06,65478.74,Inovações Mu
TV LED 55'',ProLine,489.98,39,50,Eletrônicos,PL-2,24499.0,2024-07-31,Eletrônicos,Goiânia,0.12,21559.12,Importadora Tau
Camisa Social Feminina,EliteElectronics,1925.82,7,43,Roupas,EE-6,82810.26,2024-08-03,Roupas,São Paulo,0.12,72873.03,Logística Iota
Granola,EliteElectronics,1732.95,68,39,Alimentos,EE-8,67585.05,2024-07-30,Alimentos,Teresina,0.01,66909.2,Equipamentos Xi
Perfume Chanel No. 5,TechNova,1142.33,28,42,Beleza,TN-6,47977.86,2024-08-04,Beleza,João Pessoa,0.09,43659.85,Comércio Theta
Ventilador Mondial,PrimeProducts,385.15,24,13,Eletrodomésticos,PP-6,5006.95,2024-08-01,Eletrodomésticos,Campo Grande,0.13,4356.05,Acessórios Zeta
Pasta de Dente,HomeEssentials,1131.63,84,7,Saúde,HE-6,7921.410000000001,2024-08-02,Saúde,Vitória,0.1,7129.27,Importadora Tau
Geladeira Samsung Frost Free,InnovateTech,1499.56,88,23,Eletrodomésticos,IT-7,34489.88,2024-08-03,Eletrodomésticos,Cuiabá,0.1,31040.89,Distribuidora Alpha
Creme para Massagem,ValueLine,1449.97,59,5,Saúde,VL-1,7249.85,2024-08-01,Saúde,Palmas,0.13,6307.37,Logística Iota
Água Micelar Garnier,NextGenProducts,1245.85,7,42,Beleza,NGP-8,52325.7,2024-07-30,Beleza,João Pessoa,0.0,52325.7,Inovações Mu
Condicionador Pantene,NextGenProducts,1725.4,54,4,Beleza,NGP-3,6901.6,2024-07-29,Beleza,São Paulo,0.02,6763.57,Fornecedora Gamma
Macacão Jeans,HomeEssentials,273.62,6,13,Roupas,HE-5,3557.06,2024-07-30,Roupas,Maceió,0.1,3201.35,Importadora Beta
Óleo de Soja,SmartBuy,876.24,16,28,Alimentos,SB-10,24534.72,2024-08-01,Alimentos,Aracaju,0.13,21345.21,Fornecedora Rho
Cabo de Ignição NGK,GigaStore,1207.65,59,5,Automotivo,GS-3,6038.25,2024-08-04,Automotivo,Brasília,0.06,5675.95,Comercial Nu
Máquina de Café Expresso DeLonghi,SmartChoice,591.78,73,34,Eletrodomésticos,SC-2,20120.52,2024-07-30,Eletrodomésticos,São Paulo,0.09,18309.67,Logística Iota
Bola de Futebol Nike,GigaStore,103.26,30,41,Esportes,GS-6,4233.66,2024-08-02,Esportes,Cuiabá,0.08,3894.97,Venda Lambda
Lavadora de Roupas LG,GigaStore,1175.34,36,40,Eletrodomésticos,GS-6,47013.6,2024-07-30,Eletrodomésticos,Palmas,0.14,40431.7,Acessórios Zeta
Perfume Chanel No. 5,InnovateTech,1775.3,74,20,Beleza,IT-2,35506.0,2024-08-01,Beleza,Maceió,0.13,30890.22,Inovações Mu
Camisa Polo,GigaStore,1138.78,32,26,Roupas,GS-9,29608.28,2024-08-02,Roupas,São Luís,0.13,25759.2,Produtos Epsilon
Escova de Dentes Elétrica,SmartBuy,960.04,24,24,Saúde,SB-4,23040.96,2024-07-30,Saúde,Belém,0.06,21658.5,Importadora Tau
Arroz Integral,HomeEssentials,1465.93,88,29,Alimentos,HE-2,42511.97,2024-07-31,Alimentos,Cuiabá,0.11,37835.65,Comércio Theta
Kit de Natação Speedo,Trendsetter,1808.6,88,11,Esportes,TS-8,19894.6,2024-07-30,Esportes,João Pessoa,0.01,19695.65,Distribuição Pi
Margarina,ElectroMart,1292.85,6,50,Alimentos,EM-9,64642.49999999999,2024-07-31,Alimentos,Cuiabá,0.01,63996.07,Importadora Beta
Kits de Arte,PrimeProducts,1526.87,41,13,Brinquedos,PP-10,19849.309999999998,2024-08-02,Brinquedos,Salvador,0.15,16871.91,Armazém Kappa
Cereal Matinal,MegaBrand,1361.18,33,26,Alimentos,MB-4,35390.68,2024-07-29,Alimentos,Aracaju,0.1,31851.61,Equipamentos Xi
Bola de Basquete Spalding,BrightChoice,294.51,81,2,Esportes,BC-8,589.02,2024-07-30,Esportes,Belo Horizonte,0.1,530.12,Suprimentos Sigma
Pomada para Cortes,ProLine,766.4,82,46,Saúde,PL-9,35254.4,2024-07-30,Saúde,Palmas,0.02,34549.31,Suprimentos Sigma
Estante para Livros,OptimaGoods,817.1,39,30,Móveis,OG-2,24513.0,2024-08-02,Móveis,Fortaleza,0.08,22551.96,Importadora Tau
Kit de Maquiagem O Boticário,Trendsetter,411.67,80,49,Beleza,TS-9,20171.83,2024-08-01,Beleza,Curitiba,0.08,18558.08,Logística Iota
Mesa de Jantar 6 Lugares,EcoWare,1494.14,52,33,Móveis,EW-6,49306.62,2024-08-01,Móveis,Porto Alegre,0.1,44375.96,Importadora Tau
Feijão Preto,Trendsetter,491.05,67,5,Alimentos,TS-8,2455.25,2024-08-03,Alimentos,Vitória,0.02,2406.14,Equipamentos Xi
Colchonete para Yoga,EliteElectronics,639.18,15,21,Esportes,EE-4,13422.779999999999,2024-07-29,Esportes,Maceió,0.11,11946.27,Distribuição Pi
Arco e Flecha de Brinquedo,ValueLine,1723.18,91,25,Brinquedos,VL-5,43079.5,2024-08-01,Brinquedos,Goiânia,0.04,41356.32,Distribuidora Alpha
Forno de Embutir Brastemp,BrightChoice,124.14,48,16,Eletrodomésticos,BC-10,1986.24,2024-08-04,Eletrodomésticos,Belém,0.1,1787.62,Suprimentos Delta
Armário de Cozinha,EcoWare,995.14,84,27,Móveis,EW-1,26868.78,2024-08-04,Móveis,Campo Grande,0.08,24719.28,Serviços Omicron
Cabo de Ignição NGK,PrimeProducts,1006.99,67,50,Automotivo,PP-10,50349.5,2024-07-29,Automotivo,Goiânia,0.02,49342.51,Fornecedora Gamma
Aspirador de Pó Philips,QualityGoods,1301.34,91,5,Eletrodomésticos,QG-10,6506.7,2024-08-04,Eletrodomésticos,Belém,0.03,6311.5,Armazém Upsilon
Vitaminas C + D,PrimeProducts,1393.64,45,29,Saúde,PP-10,40415.560000000005,2024-07-31,Saúde,Brasília,0.09,36778.16,Fornecedora Gamma
Guarda-Roupa 6 Portas,OptimaGoods,264.05,82,11,Móveis,OG-10,2904.55,2024-08-04,Móveis,Palmas,0.02,2846.46,Serviços Omicron
Kit de Primeiros Socorros,ElectroMart,1259.28,29,12,Saúde,EM-6,15111.36,2024-08-04,Saúde,Manaus,0.0,15111.36,Equipamentos Xi
Boneca de Pano,SmartBuy,767.89,76,34,Brinquedos,SB-7,26108.26,2024-08-04,Brinquedos,Porto Alegre,0.05,24802.85,Fornecedora Gamma
Cadeira de Escritório com Rodízios,BrightChoice,945.46,50,32,Móveis,BC-1,30254.72,2024-07-31,Móveis,Aracaju,0.11,26926.7,Importadora Tau
Mesa de Jantar 6 Lugares,ElectroMart,1455.66,66,47,Móveis,EM-9,68416.02,2024-08-02,Móveis,São Luís,0.1,61574.42,Acessórios Zeta
Robô Educativo,GigaStore,877.57,81,6,Brinquedos,GS-4,5265.42,2024-07-31,Brinquedos,Belo Horizonte,0.13,4580.92,Logística Iota
Banco de Jardim,PrimeProducts,1031.73,49,22,Móveis,PP-2,22698.06,2024-08-03,Móveis,Salvador,0.1,20428.25,Distribuidora Alpha
Robô Educativo,ElectroMart,310.81,7,43,Brinquedos,EM-10,13364.83,2024-08-03,Brinquedos,Rio de Janeiro,0.02,13097.53,Importadora Beta
Colchonete para Yoga,QualityGoods,1460.72,14,1,Esportes,QG-9,1460.72,2024-08-03,Esportes,Belo Horizonte,0.12,1285.43,Importadora Beta
Sofá de Canto,EcoWare,1314.17,42,18,Móveis,EW-2,23655.06,2024-08-04,Móveis,Fortaleza,0.08,21762.66,Importadora Beta
Suplemento de Ferro,OptimaGoods,1417.23,73,32,Saúde,OG-1,45351.36,2024-07-30,Saúde,Vitória,0.04,43537.31,Inovações Mu
Blusa de Frio Tricot,MegaBrand,977.0,7,33,Roupas,MB-3,32241.0,2024-08-03,Roupas,Manaus,0.09,29339.31,Importadora Beta
Smartphone iPhone 13,TechNova,1633.69,26,49,Eletrônicos,TN-9,80050.81,2024-07-29,Eletrônicos,Curitiba,0.09,72846.24,Armazém Kappa
Cadeira de Camping,SmartBuy,416.77,28,41,Esportes,SB-7,17087.57,2024-08-01,Esportes,Teresina,0.03,16574.94,Acessórios Zeta
Fogão Electrolux,SuperGadgets,473.42,38,48,Eletrodomésticos,SG-9,22724.16,2024-07-29,Eletrodomésticos,João Pessoa,0.04,21815.19,Produtos Epsilon
Enlatado de Milho,NextGenProducts,216.04,66,45,Alimentos,NGP-3,9721.8,2024-08-03,Alimentos,Manaus,0.02,9527.36,Venda Lambda
Projetor Epson Home Cinema,PrimeProducts,672.93,50,48,Eletrônicos,PP-3,32300.64,2024-08-04,Eletrônicos,Recife,0.09,29393.58,Fornecedora Rho
